ⴰ	a
ⴻⵍⵍⴰⵏ	there are
ⵢⴻⵍⵍⴰ	there is
ⵉⵀⵉ	therefore
ⵡⵉⴳⵉ	these
ⵏⵓⵜⴻⵏⵉ	they
ⴰⵜⵏⴰⵏ	they are
ⵣⵀⵓⵔ	thick
ⴰⵎⴰⴽⴰⵔ	thief
ⵜⴰⵎⴻⵙⵙⴰⴹⵜ	thigh
ⵜⴰⵣⴰⵢⵜ	thin
ⵜⴰⵖⴰⵡⵙⴰ	thing
ⵜⵉⵖⴰⵡⵙⵉⵡⵉⵏ	things
ⵅⴻⵎⵎⴻⵎ	think
ⵡⵉⵙ ⴽⵔⴰⴹ	third
ⴼⴰⴷ	thirsty
ⵎⵔⴰⵡ ⴷ ⴽⵕⴰⴹ	thirteen
ⴽⵔⴰⴷ ⵏ ⵜⵎⴻⵔⵡⵉⵏ	thirty
ⴰⵢⴰⴳⵉ	this
ⴷ ⴰⵢⴰⴳⵉ	this is
ⵙⵉⵍⵇⵉ	thorough
ⴰⴽⴽⴻⵏ ⵉⵍⴰⵇ	thoroughly
ⵡⵉⴷ	those
ⵖⴰⵙ ⴰⴽⴽⴻⵏ	though
ⵢⴻⵖⵉⵍ	thought
ⵜⵉⴽⵜⵉ	thought
ⵢⴻⵖⵉⵍ	thoughtful
ⵢⴻⵜⵅⴻⵎⵎⵉⵎ	thoughts
ⴰⴳⵉⵎ	thousand
ⴰⵎⵔⴰⵔ	thread
ⴰⵙⵉⴳⵡⴰⴷ	threat
ⵢⴻⴳⴳⴻⵣ	threaten
ⴽⵔⴰⴹ	three
ⵜⴰⵣⵡⴰⵔⴰ	threshold
ⵙⵙⴻⵄⴷ	thrilled
ⴰⴷ ⵜⴳⴻⵔⵔⴻⵣ	thrive
ⴰⴳⴻⵔⵊⵓⵎ	throat
ⵙⵔⵉⴷ	through
ⴷⴻⴳ ⵢⴰⵍ	throughout
ⴰⵜⴻⴳⴻⵛ	throw
ⴰⴷⴻⴱⵓⵣ	thumb
ⵔⵔεⴻⴹ	thunder
ⴰⵎⵀⴰⴷ	Thursday
ⴰⴽⴽⴰ	thus
ⵜⴰⵙⴻⵍⵍⵓⴼⴻⵜ	tick
ⴰⵏⴳⵉ	tide
ⵙⵙⴻⵎⵙⴰⵡⴰⵢ	tidy
ⵢⴻⵇⵇⴻⵏ	tie
ⴰⴽⵙⵉⵍⴰⴽⵙⵉⵍ	tiger
ⴹⴻⵢⵉⵇ	tight
ⵜⵉⴳⵔⵉⵏⵢⴰ	Tigrinya
ⴰⴽⵓⴷ	time
ⵜⴰⴽⵙⵉⵍⵜ	timid
ⴰⵎⴻⵛⵟⵓⵃ	tiny
ⵜⴻⵏⵚⵉⵃⵉⵏ	tip
ⵉⵖⴻⴼ	tips
ⵜⵉⵏⴳⴻⵙ	tire
ⵄⴻⵢⵢⵓ	tired
ⵜⴰⵎⴻⵛⵡⴰⵔⵜ	tissue
ⴰⵣⵡⴻⵍ	title
ⵉ	to
ⴰⴷ ⵢⵉⵍⵉ	to be
ⴰⵖⵔⵓⵎ	toast
ⴰⵙⵙⴰ	today
ⴰⵇⵔⵓⵊ	toddler
ⵜⵉⴼⴻⴷⵏⵉⵏ	toes
ⵍⵡⴰⵃⵉ	together
ⴰⴱⴷⵓⵣ	toilet
ⵢⴻⵏⵏⴰⵯⵢⴰⵙ	told
ⴰⵙⵓⵔⴻⴼ	tolerance
ⴰⴳⴻⵍⵍⴻⵣ	tolerate
ⵜⵓⵎⴰⵟⵉⵛ	tomato
ⴰⵣⴻⴽⴽⴰ	tomorrow
ⵉⵍⴻⵙ	tongue
ⵉⴹⵯⴰ.	tonight
ⵓⵍⴰ ⴷ	too
ⵢⴻⵡⵡⵉ	took
ⴷⴷⵓⵣⴰⵏ	tool
ⴷⴷⵓⵣⴰⵏ	tools
ⵜⵓⵖⵎⴻⵙⵜ	tooth
ⴰⴼⴻⵍⵍⴰ	top
ⴰⵙⴻⵏⵜⴻⵍ	topic
ⵢⴻⵙⵖⴻⵔⵙ	torn
ⵉⴼⴽⴻⵔ	torture
ⵉⵖⵢⴻⵖⴻⵏ	total
ⴰⵏⴰⵍⵉ	touch
ⵢⴻⵇⵇⵓⵔⴻⵏ	tough
ⵜⴰⴱⴻⵔⵏⵉⵏⴻⵜ	tour
ⵖⴻⵔ	toward
ⵖⴻⵔ	towards
ⵜⴰⵙⴼⴻⴹⵜ	towel
ⵜⴰⵎⴷⵉⵏⵜ	town
ⵜⴻⵅⵏⴻⵇ	toxic
ⵢⴻⴹⴼⴻⵔ	trace
ⴰⴱⵔⵉⴷ	track
ⵙⵜⴻⴳ	trade
ⴰⵏⵙⴰⵢ	tradition
ⵉⵄⴻⴷⴷⴰⵜ	traditional
ⵜⴰⵎⵙⵓⵖⴻⵍⵜ	traffic
ⴰⴱⵔⵉⴷ	trail
ⵜⴰⵎⴰⵛⵉⵏⵜ	train
ⴰⵙⴻⵍⵎⴰⴷ	training
ⵜⵉⴽⵍⵉⵡⵉⵏ	trait
ⵜⵉⵎⵙⴰⵍ	traits
ⵛⴻⴳⴳⴻⵄ	transfer
ⴰⵙⴻⴳⴱⴰⵜ	transition
ⵜⵔⴻⵊⵎⴰⵜ	translate
ⵜⴰⴼⵔⴰⵡⴰⵏⵜ	transparent
ⵜⵉⴷⵉⵙⵜ	transport
ⴰⵙⵉⵡⴻⴹ	transportation
ⵜⵉⴼⵅⴻⵜ	trap
ⴰⵎⵓⵔ	trash
ⵉⴷⴻⴷⴷⵉⵙⴻⵏ	trauma
ⴰⴷ ⵉⵔⵓⵃ	travel
ⴰⵙⴻⵙⵎⴰⵍ	tray
ⴰⴳⴻⵔⵔⵓⵊ	treasure
ⴰⴼⵓⴷ	treat
ⵢⴻⵜⵜⴷⴰⵡⵉ	treatment
ⵜⵟⴻⵊⵔⴰ	tree
ⴰⵎⴻⵇⵇⵔⴰⵏ	tremendous
ⴰⵄⴰⵏⴻⴷ	trend
ⵛⵛⵕⴻⵄ	trial
ⵉⴽⴻⵍⵍⴻⵅ	trick
ⵢⴻⵄⵔⴻⴹ	tried
ⵏⴽⴻⵔ	trigger
ⵜⵛⴰⵔ	trim
ⵜⵉⴽⵍⵉ	trip
ⵓⵀⵓⵔ	trouble
ⵉⵙⴻⴱⴱⴰⴹⴻⵏ	trousers
ⴰⴽⴰⵎⵢⵓⵏ	truck
ⴷ ⵜⵉⴷⴻⵜ	true
ⴰⴳⴻⵎⵎⴰⵢ	trunk
ⴼⵍⴻⵙ	trust
ⵜⵉⴷⴻⵜ	truth
ⵄⵔⴻⴹ	try
ⵜⵙⵓⴳⵏⴰ	Tsonga
ⴰⵊⴻεⴱⵓⴱ	tube
ⴰⵙⵙ ⵏ ⵜⵍⴰⵜⴰ	Tuesday
ⵜⵉⵖⵔⵉ	tuition
ⵜⵓⵔⴽ	turkey
ⵣεⴻⴼⵔⴰⵏ	turmeric
ⴷⴻⵡⴻⵔ	turn
ⴰⵎⵀⴻⵜⵜⴰⴽ	turtle
ⴰⵙⴻⴳⴷⴻⵍ	tutor
ⵎⵔⴰⵡ ⴷ ⵙⵙⵉⵏ	twelve
ⵙⵏⴰⵜ ⵜⵎⴻⵔⵡⵉⵏ	twenty
ⵙⵏⴰⵜ ⵏ ⵜⵎⴻⵔⵡⵉⵏ ⴷ ⵢⵉⵡⴻⵏ	twenty-one
Twi	Twi
ⵙⵏⴰⵜ ⵏ ⵜⵉⴽⵡⴰⵍ	twice
ⴱⴱⴻⵔⵏⴻⵏⵏⵉ	twist
ⵙⵉⵏ	two
ⴰⵔⵓ	type
ⴰⵎⴰⵢⵏⵓⵜ	typical
ⵉⵍⵉⴳ	ugly
ⴰⵏⴻⴳⴳⴰⵔⵓ	ultimate
ⵜⴰⵙⵉⵡⴰⵏⵜ	umbrella
ⵓⵔ ⵢⴻⵣⵎⵉⵔ ⴰⵔⴰ	unable
ⵅⴰⵜⵉ	uncle
ⵢⴻⵏⴷⴻⵡⵡⴰⵅ	unconscious
ⴷⴷⴰⵡ	under
ⴷⴷⴰⵡ	underneath
ⴰⴼⵀⴰⵎ	underrated
ⴼⴻⵀⵎⴻⵖ	understand
ⵢⴻⴳⵣⴰ	understood
ⴼ ⴰⵙⵃⵉⵙⵙⴻⴼ	unfortunately
ⵜⴰⵢⵉⵡⵏⵉⵜ	uniform
ⵓⵙⵙⴰⴼ	unique
ⴰⴱⵓⵢⴰⵏ	unit
ⵜⴰⵙⴻⴷⴰⵡⵉⵜ	university
ⵓⵔ ⵉⵜⵡⴰⵙⵙⴻⵏ ⴰⵔⴰ	unknown
ⴰⵍⴰ ⵎⴰ ⵢⴻⵍⵍⴰ	unless
ⴰⵍⴰⵎⵎⴰ	until
ⵓⴻ ⴷⵯⵢⴻⵣⴳⵉ ⴰⵔⴰ	unusual
ⴷⴰⵙⴰⵡⴻⵏ	up
ⵖⵓⵔⵯⴽ	up to you
ⵙⵜⴻⵎⵔⵉⵖ	update
ⵙⵉⵍⴻⵖ	upgrade
ⵖⴻⴼ	upon
ⴰⵎⴱⵉⵡⴻⵍ	upset
ⴰⵖⴻⵎⴰⵏ	urban
ⴰⴽⵙⴰⴼ	urge
ⴷ ⴰⵢⴻⵏ ⵉⵄⴻⴵⵍⴻⵏ	urgent
ⵏⴻⴽⵏⵉ	us
ⵙⴻⵇⴷⴻⵛ	use
ⵢⴻⵜⵡⴰⵙⴻⵅⴷⴰⵎ	used
ⵉⵜⴻⵡⴰⵙⴻⵅⴷⴰⵎ	useful
ⵓⵔ ⵏⴻⵙⵄⵉ ⴰⵣⴰⵍ	useless
ⴰⵎ ⵜⴰⵏⵏⵓⵎⵉ	usual
ⵙ ⵓⵎⴰⵜⴰ	usually
ⵉⵍⴰⵇ	utility
ⵉⵎⵓⵔⴰⵙ	vacation
ⴰⵛⵔⴰⴹ	vaccination
ⵛⵔⴻⴹ	vaccine
ⵙⵉⵣⴷⴻⴳ	vacuum
ⵓⵔ ⴷⵯⵢⴻⴼⵀⵉⵎ	vague
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ	valid
ⵉⵖⵣⴻⵔ	valley
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ	valuable
ⵙⴰⵣⴻⵍ	value
ⴰⴳⵎⵓⴹ	variety
ⵉⵎⴳⴰⵔⴰⴷⴻⵏ	various
ⵎⴳⴰⵔⴰⴷ	vary
ⵜⴰⵇⴱⵓⵛⵜ	vase
ⴰⵎⴻⵇⵔⴰⵏ	vast
ⵉⵎⵖⴰⵏ	vegetable
ⵜⵉⴷⴰⵍ	vegetables
ⵜⴰⴽⴻⵔⵔⵓⵙⵜ	vehicle
ⵉⵎⵣⴻⵏⵣⵉ	vendor
ⵙⵙⴻⵎ	venom
ⵜⵉⵔⵎⵉⵙⵉⵏ	venture
ⴰⵎⴹⵉⵇ	venue
ⴰⴷ ⴷⵯⵜⴻⵥⵔⴻⴹ	verify
ⵜⴰⵙⴻⵖⵏⴰⵡⵜ	versatile
ⵜⴰⵙⴻⵏⴼⴻⵍⵜ	version
ⴰⴱⴻⴷⴷⴰⵢ	vertical
ⵅⵉⵍⵍⴰ	very
ⵢⴻⵍⵀⴰ ⵎⵍⵉⵃ	very good
ⵜⴰⴹⴻⴱⵙⵉⵜ	vessel
ⵙⴻⴳ	via
ⵉⵙⵡⴰⵄ	vibe
ⵜⵉⵖⵔⵉⵡⵉⵏ	vibes
ⴰⵎⵛⵓⵎ	vicious
ⵜⴰⵖⵜⴻⵙⵜ	victim
ⵜⴰⵠⵉⴷⵢⵓⵜ	video
ⵜⴰⵎⵓⵖⵍⵉ	view
ⵜⴰⴷⴷⴰⵔⵜ	village
ⴰⵎⵛⵓⵎ	villain
ⴰⵎⴰⵖⵓⵙ	vinegar
ⴷ ⴰⵇⴷⵉⵎ	vintage
ⵜⴰⴽⵔⵉⴹⵜ	violence
ⴰⵇⴻⵀⵀⴰⵔ	violent
ⴰⵏⴼⴰⴼⴰⴷ ⴰⵙⴻⵏⵙⴻⵍⴽⵉⵎ	viral
ⵜⵉⵍⴻⵎⵥⵉⵜ	virgin
ⴷ ⵜⵉⵏ ⵏ ⵜⵉⴷⴻⵜ	virtual
ⵜⴰⵣⴻⵍⵎⴰ	virtue
ⵜⴰⵎⵓⵖⵍⵉ	vision
ⵔⵣⴻⴼ	visit
ⴰⵎⵡⴰⵍⴰⵏ	visual
ⵢⴻⵙⵄⴰ ⴰⵣⴰⵍ	vital
ⵢⴷⴷⴻⵔ	vivid
ⵜⴰⵎⴰⵡⵍⵜ	vocabulary
ⵜⴰⵖⴻⵛⵜ	voice
ⵓⵔ ⵢⴻⵙⵄⵉ ⴰⵣⴰⵍ	void
ⵉⵎⴻⵙⵍⵉ	volume
ţⴻⴽⴽⵉ	volunteer
ⵢⴻⵔⵔⴰ	vomit
ⵢⴻⵜⵜⵡⴰⵃⴻⵔⵣⴻⵏ	vulnerable
ⵍⴻⵅⵍⴰⵚ	wage
ⵍⴻⵅⵍⴰⵚ	wages
ⴰⵎⴷⴰⵔ	waist
ⴰⵔⴵⵓ	wait
ⴰⵇⴻⴷⴷⴰⵛ	waiter
ⵢⴻⵜⵜⵔⴰⵊⵓ	waiting
ⴰⴽⵉ	wake
ⴽⴽⴻⵔ	wake up
ⴷⴷⵓ	walk
ⵜⵉⴷⴷⵉⵜ	walking
ⵍⵃⵉⴷ	wall
ⴰⵣⴹⴰⵎ	wallet
ⴰⵎⴻⵏⵟⴰⵔ	wander
ⴱⵖⵉⵖ	wanna
ⵢⴻⴱⵖⴰ	want
ⴱⵖⴰⵏ	wanted
ⵍⴳⵉⵔⵔⴰ	war
ⵜⴰⵅⵣⴰⵏⵜ	wardrobe
ⴰⵎⴽⴰⵏ	warehouse
ⵙⴻⵃⵎⵓ	warm
ⵄⴻⵢⵢⴻⵏ	warn
ⴰⵄⴻⵢⵢⴻⵏ	warning
ⴰⵎⵎⴻⵏⵓⵖ	warrior
ⵢⴻⵍⵍⴰ	was
ⵙⵙⵉⵔⴻⴷ	wash
ⵉⴹⴻⵢⵢⴻⵄ	waste
ⵙⴰⵄⴰ	watch
ⴰⵎⴰⵏ	water
ⴰⵍⴻⴳⴳⵓⵥ	watermelon
ⵍⵎⵓⵊⴰ	wave
ⴰⴱⵔⵉⴷ	way
ⵏⴻⴽⵏⵉ	we
ⴰⵇⵍⴰⵖ	we are
ⵏⴻⵣⵎⴻⵔ	we can
ⵉⴹⵄⴻⴼ	weak
ⴹⴹⴻⵄⴼⴰⵏ	weakness
ⵙⵄⴰⵢⴰ	wealth
ⴷ ⵉⵎⴻⵔⴽⴰⵏⵜⵉⵢⴻⵏ	wealthy
ⵉⵍⴻⵙ	wear
ⵍⴻⴱⵙⴰ	wearing
ⵜⴻⵜⵜⵉⵍⵉⵜ	weather
ⵜⴰⵎⴻⵖⵔⴰ	wedding
ⵍⵃⴻⴷⴷ	Wednesday
ⴰⵣⴰⴳⵍⵓ	weed
ⴷⴷⵓⵔⵜ	week
ⵜⴰⴳⴳⴰⵔⴰ ⵏ ⴷⴷⵓⵔⵜ	weekend
ⵜⵜⵓⵣⵓⵔⴻⵖ	weight
ⴷ ⴰⵢⴻⵏ ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	weird
ⴰⵏⵙⵓⴼ ⵢⵉⵙⵯⵡⴻⵏ	welcome
ⵏⵃⴰⵔⴻⴱ ⵖⴻⴼ	welfare
ⴷⵖⴰ	Well
ⵢⴻⵍⵀⴰ ⵍⵃⴰⵍ	well done
ⵉⵔⵔⵓⵃ	went
ⵍⵍⴰⵏ	were
ⴰⴳⵎⵓⴷ	west
ⵢⴻⴱⵣⴻⴳ	wet
ⵉⵙⴻⵍⵎⴰⵏ	whale
ⴷⵯⴰⵛⵓ	what
ⴰⵎⴻⴽ ⵉ ⵜⴻⵜⵜⵉⵍⵉⴹ	what about you
ⴷⵯⴰⵛⵓ ⵉ ⵜⵅⴻⴷⵎⴻⴷ	what are you doing
ⴷ ⴰⵛⵓ ⵉ ⵜⵅⴻⴷⵎⴻⴹ ⵜⵓⵔⴰ	what are you doing now
ⴷⵯⴰⵛⵓ ⵜⵅⴻⴷⵎⴻⴷ ⵜⵓⵔⴰ	what are you doing right now
ⴷ ⴰⵛⵓ ⵜⵅⴻⴷⵙⵎⴻⴹ?	what do you do
ⴷ ⴰⵛⵓ ⵉ ⵜⵅⴻⴷⴷⵎⴻⴹ ⵉ ⵜⵓⴷⴻⵔⵜⵯⵉⴽ?	what do you do for a living
ⴷ ⴰⵛⵓ ⵉ ⵜⴻⴱⵖⵉⴹ ⴰⴷ ⵜⵉⵏⵉⴹ	what do you mean
ⴷⵯⴰⵛⵓ ⵜⴻⴱⵖⵉⴹ	what do you want
ⴰⵛⵓ ⵢⴻⴹⵔⴰⵏ	what happened
ⴷ ⴰⵛⵓ	what is
ⴷⵯⴰⵛⵓⵯⵜ ⵡⴰ	what is this
ⴷⵯⴰⵛⵓⵯⵜ ⵓⵅⴻⴷⴷⵉⵎⵯⵉⴽ	what is your job
ⵉⵙⴻⵎⵯⵉⴽ	what is your name
ⴷⵯⴰⵛⵓ ⵢⴻⵍⵍⴰⵏ	what's up
ⵉⵙⴻⵎⵯⵉⴽ	what's your name
ⴰⵢⴻⵏ ⵢⴻⵍⵍⴰⵏ	whatever
ⵉⵔⴷⴻⵏ	wheat
ⵉⴱⴻⵔⵔⵏⴻⵏ	wheel
ⵎⴻⵍⵎⵉ	when
ⵢⴰⵍ ⵜⵉⴽⴽⴻⵍⵜ	whenever
ⴰⵏⴷⴰ	where
ⴰⵏⴷⴰ ⵜⴻⵍⵍⵉⴹ	where are you
ⴰⵏⵙⴰⵯⴽ	where are you from
ⴰⵏⴷⴰⵯⴽ ⵜⵓⵔⴰ?	where are you now
ⴰⵏⴷⴰ ⵉ ⵜⵣⴻⴷⵖⴻⴹ?	where do you live
ⴰⵏⴷⴰⵯⵜ	where is
ⵉⵎⵉ	whereas
ⵎⴰ ⵢⴻⵍⵍⴰ	whether
ⵡⵉ	which
ⵙⴽⵓⴷ	while
ⴰⵙⵜⴻⵡⵜⴻⵡ	whisper
ⵚⴻⴼⴼⴻⵔ	whistle
ⴰⵎⴻⴽⵍⴰⴽ	white
ⴰⵏⵡⴰ	who
ⴰⵏⵡⴰⵯⴽ	who are you
ⴰⵏⵡⴰ ⵉ ⵢⴻⵍⵍⴰⵏ	who is
ⴰⵏⵡⴰⵯⵜ ⵡⴰⴳⵉ	who is this
ⴰⴽⴽ	whole
ⴰⵏⵡⴰ	whom
ⵡⵉⴷ	whose
ⵉ ⵡⴰⵛⵓ	why
ⴰⵢⵖⴻⵔ ⴰⵍⴰ	why not
ⴰⵎⵛⵓⵎ	wicked
ⵡⵣⵙⵙⵉⵄ	wide
ⵜⴰǧǧⴰⵍⵜ	widow
ⴰⵙⵙⵓⵎⴻⵔ	width
ⵜⴰⵎⴻⵟⵟⵓⵜ	wife
ⴼⴻⵀⵎⴻⵖ	wild
ⵍⴻⴱⵖⵉ	will
ⴰⴷ	will
ⴷ ⵡⵉⴷ ⵢⴻⴱⵖⴰⵏ	willing
ⴰⴼⵔⴰⵏ	win
ⴰⴹⵓ	wind
ⵟⵟⴰⵇ	window
ⴷ ⴰⴹⵓ	windy
ⵛⵛⵔⴰⴱ	wine
ⵜⴰⴳⵔⴻⵙⵜ	winter
ⵙⴼⴻⴹ	wipe
ⵉⵏⵣⵉⵣ	wire
ⵜⴰⵎⵓⵙⵏⵉ	wisdom
ⴰⵃⴷⴰⴷ ⵏ ⵡⴰⵡⴰⵍ	wise
ⵙⵉⵔⴻⵎ	wish
ⵙⴰⵔⴰⵎⴰⵖⵯⴰⴽ ⴰⴽⴽ ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ	wish you all the best
ⵡⵉⵏ	witch
ⴰⴽ	with
ⴽⴽⴻⵙⵯⴷ	withdraw
ⵊⴻⴱⴻⴷ	withdrawal
ⴷⴻⴳ	within
ⴱⴻⵍⴰ	without
ⵡⴰⵏⴻⵙ	witness
ⴰⵎⴻⴳⵣⵓ	witty
ⴰⵖⵙⵉ	wolf
ⵜⴰⵎⴻⵟⵟⵓⵜ	woman
ⵜⵉⵍⴰⵡⵉⵏ	women
ⵜⴻⵔⴱⴻⵃ	won
ⵓⵔ ⵢⴻⴱⵖⵉ ⴰⵔⴰ	won't
ⵢⴻⵡⵀⴻⵎ	wonder
ⵢⴻⵍⵀⴰ	wonderful
ⴰⵙⵖⴰⵔ	wood
ⵜⴰⴷⵓⵟ	wool
ⴰⵡⴰⵍ	word
ⴰⵡⴰⵍⴻⵏ	words
ⴰⵅⴷⴻⵎ	work
ⵢⴻⵅⴻⴷⴷⴻⵎ	work out
ⵉⵅⴻⴷⴷⵉⵎ	working
ⴰⵎⴰⴹⴰⵍ	world
ⵜⴰⵡⴻⴽⴽⴰ	worm
ⵢⴻⵃⴼⴰ	worn
ⵜⴻⵛⵖⴻⴱ	worried
ⵢⴻⵜⵇⴻⵍⵍⴻⵇ	worry
ⵢⵉⵔ	worse
ⵄⴻⴱⴷ	worship
ⴰⵢⴻⵏ ⵏ ⴷⵉⵔⵉ	worst
ⴰⵣⴰⵍ	worth
ⵢⵓⴽⵍⴰⵍⵯⵉⵜ	worth it
ⵢⵓⴽⵍⴰⵍ	worthy
ⴰⴷ	would
ⵍⴵⴻⵔⵃ	wound
ⵢⴻⵍⵀⴰ	Wow
ⵙⵙⴻⵎⵜⵜⵓⵜⵜⴻⵍ	wrap
ⴰⴳⴻⵔⵏⵉⵏ	wrath
ⴰⵎⵔⴰⵔ	wrist
ⴰⵔⵓ	write
ⴰⵔⵓ ⴷⵯⴰ	Write here
ⵜⵉⵔⴰ	writing
ⵉⵎⵢⵓⵔⴰ	written
ⵢⴻⵖⵍⴻⴹ	wrong
ⵢⵓⵔⴰ	wrote
ⴰⴼⵔⴰⴳ	yard
ⵢⴻⵜⴼⴰⵢⵉ	yawn
ⵉⵀ	Yeah
ⴰⵙⴻⴳⴳⴰⵙ	year
ⵉⵙⴻⴳⴳⴰⵙⴻⵏ	years
ⵉⵖⴻⵙ	yeast
ⵢⵙⵓⵖ	yell
ⴰⵡⵔⴰⵖ	yellow
ⵉⵀ	Yes
ⵉⵀ ⴰ ⵜⴰεⵣⵉⵣⵜ	yes baby
ⵉⵀ ⴰⵢ ⴰⵎⴷⴰⴽⵓⵍ	yes dear
ⵉⵀ ⴰ ⵜⴰⵢⵔⵉ	yes honey
ⵉⵀ ⴰ ⵜⴰⵢⵔⵉⵯⵡ	yes my love
ⵉⵀ, ⴷ ⴰⵢⴻⵏ ⵉⴱⴰⵏⴻⵏ	yes of course
ⵉⴹⴻⵍⵍⵉ	yesterday
ⵎⴰⵣⴰⵍ	yet
ⴰⵙⵓⴼ	yield
ⴽⴻⵞⵞ	you
ⴽⴻⵞⵞ	you are
ⵜⵛⴻⴱⵃⴻⴹ	you are beautiful
ⵜⴻⵛⴱⵃⴻⴷ ⴰⵟⴰⵙ	you are so beautiful
ⴱⵍⴰ ⵍⴻⵎⵣⴻⵢⴰ	you are welcome
ⵜⵣⴻⵎⵔⴻⴹ	you can
ⵜⴻⵣⵔⵉⴷ	You know
ⵓⵍⴰ ⴷ ⴽⴻⵎⵎ	you too
ⵓⵍⴰⵛ ⴰⵖⵉⵍⵉⴼ	you're welcome
ⴰⵎⴻⵛⵟⵓⵃ	young
ⴰⴳⵍⴰⵯⴽ	your
ⴰⵏⵙⵓⴼ ⵢⵉⵙⵯⵎ	your welcome
ⵉⵎⴰⵏⵯⵉⵎ	yourself
ⵜⴻⵎⵥⵉ	youth
ⴰⵏⵙⵓⴼ ⵢⴻⵙⵙⵯⴽ	you’re welcome
ⴰⵍⴻⵇⵇⴰⵖ	yummy
ⵉⵍⴻⵎ	zero
